groupId,groupName,teeTime,scorerPlayerId,player1Id,player2Id,player3Id,player4Id
sun-1,Group 1,8:00,Daryl,Daryl,TerryM,Nick,George
sun-2,Group 2,8:04,Ryan,Ryan,JordanCa,Kevin,Graeme
sun-3,Group 3,8:08,Jamie,Jamie,Diego,Matt,Matthew
