groupId,groupName,teeTime,scorerPlayerId,player1Id,player2Id,player3Id,player4Id
sun-1,Group 1,8:00,luke,luke,michael,diego,terry
sun-2,Group 2,,,,,,
sun-3,Group 3,,,,,,
sun-4,Group 4,,,,,,
